,locid,lat_mean,long_mean,visits,locid_check,osm_place_id,display_name,city,country,country_code
0,55033,59.330157699995866,18.05807948109924,5811,55033.0,235973447,"Pennfäktaren, Norrmalm, Norrmalms stadsdelsområde, Stockholm, Stockholms kommun, Stockholms län, Svealand, Sverige",Stockholm,Sverige,se
1,19542,37.616356064894575,-122.38615036010535,5662,19542.0,235227144,"Domestic Garage, Zone F/G, Lomita Park, San Mateo County, California, 94128, United States of America",Stockholm,United States of America,us
2,9410,30.201557329699497,-97.66712665559207,4713,9410.0,235768752,"Austin-Bergstrom International Airport (AUS), Presidential Boulevard, Austin, Travis County, Texas, 78742, United States of America",Austin,United States of America,us
3,10259,32.89746164579993,-97.04034805299415,4083,10259.0,186874070,"FAA Tower, International Parkway, Grapevine, Tarrant County, Texas, 75261, United States of America",Grapevine,United States of America,us
4,58725,59.650050882897716,17.932262420699395,3476,58725.0,105773201,"Stockholm-Arlanda flygplats, 273, Starrmossen, Sigtuna kommun, Stockholms län, Svealand, 19060, Sverige",Grapevine,Sverige,se
5,14470,33.63863258129691,-84.4371414184954,3420,14470.0,91277903,"Concourse B, South Inner Loop Road, Elmwood, College Park, Clayton County, Georgia, 30337, United States of America",College Park,United States of America,us
6,23256,39.849501881803185,-104.67387199400154,3416,23256.0,187878232,"Mountain Mirage Fountain, Terminal East Commercial Vehicles, Denver, Denver County, Colorado, United States of America",Denver,United States of America,us
7,9246,30.26360797429886,-97.73956775670565,3402,9246.0,131146451,"Austin Convention Center, 500, East Cesar Chavez Street, Rainey Street Historic District, Austin, Travis County, Texas, 78702, United States of America",Austin,United States of America,us
8,10190,33.9435379570973,-118.40716838840684,3398,10190.0,53787713,"LAX West, World Way, Westchester, Los Angeles, Los Angeles County, California, 90045-5802, United States of America",Los Angeles,United States of America,us
9,9241,30.270733781599112,-97.75370299820072,3322,9241.0,174659341,"Whole Foods Market Landmark Store & Headquarters, Henderson Street, West Sixth, Austin, Travis County, Texas, 78701, United States of America",Austin,United States of America,us
10,22831,41.97802862849788,-87.9036712645958,3121,22831.0,90800010,"O'Hare International Airport, 10000, Zemke Boulevard, O'Hare, Chicago, Cook County, Illinois, 60666, United States of America",Chicago,United States of America,us
11,66171,60.19351070140346,11.0982513427996,2950,66171.0,183075098,"Oslo lufthavn, Gardermoen, Henrik Ibsens veg, Garder, Sand, Ullensaker, Viken, 2060, Norge",Sand,Norge,no
12,11319,47.4434143880023,-122.30255126949817,2453,11319.0,235334778,"Sea-Tac Airport Main Terminal, Seattle-Tacoma Airport Arrivals, McVan, SeaTac, King County, Washington, 98158, United States of America",SeaTac,United States of America,us
13,23372,36.08489875119995,-115.14907836910467,2275,23372.0,201488874,"Terminal 1, Wayne Newton Boulevard, Midtown UNLV, Paradise, Clark County, Nevada, 89119-6304, United States of America",Paradise,United States of America,us
